Symbol,Name,Sector,Manual,Pipe,Concatenate,Manual Final,,,,
NWSA,News Corp. Class A,Consumer Discretionary,news corp,|,news corp|,news corp|,"""","""",",","""news corp"","
NWS,News Corp. Class B,Consumer Discretionary,news corp,|,news corp|,news corp|,"""","""",",","""news corp"","
NEE,NextEra Energy,Utilities,nextera,|,nextera|,nextera|,"""","""",",","""nextera"","
NLSN,Nielsen Holdings,Industrials,nielsen,|,nielsen|,nielsen|,"""","""",",","""nielsen"","
NKE,Nike,Consumer Discretionary,nike,|,nike|,nike|,"""","""",",","""nike"","
NI,NiSource Inc.,Utilities,nisource,|,nisource|,nisource|,"""","""",",","""nisource"","
NBL,Noble Energy Inc,Energy,noble energy,|,noble energy|,noble energy|,"""","""",",","""noble energy"","
JWN,Nordstrom,Consumer Discretionary,nordstrom,|,nordstrom|,nordstrom|,"""","""",",","""nordstrom"","
NSC,Norfolk Southern Corp.,Industrials,norfolk southern,|,norfolk southern|,norfolk southern|,"""","""",",","""norfolk southern"","
NTRS,Northern Trust Corp.,Financials,northern trust,|,northern trust|,northern trust|,"""","""",",","""northern trust"","
NOC,Northrop Grumman Corp.,Industrials,northrop grumman,|,northrop grumman|,northrop grumman|,"""","""",",","""northrop grumman"","
NCLH,Norwegian Cruise Line,Consumer Discretionary,norwegian cruise,|,norwegian cruise|,norwegian cruise|,"""","""",",","""norwegian cruise"","
NRG,NRG Energy,Utilities,nrg,|,nrg|,nrg|,"""","""",",","""nrg"","
NUE,Nucor Corp.,Materials,nucor,|,nucor|,nucor|,"""","""",",","""nucor"","
NVDA,Nvidia Corporation,Information Technology,nvidia,|,nvidia|,nvidia|,"""","""",",","""nvidia"","
ORLY,O'Reilly Automotive,Consumer Discretionary,o'reilly,|,o'reilly|,oreilly|,"""","""",",","""o'reilly"","
OXY,Occidental Petroleum,Energy,occidental petroleum,|,occidental petroleum|,occidental petroleum|,"""","""",",","""occidental petroleum"","
OMC,Omnicom Group,Consumer Discretionary,omnicom group,|,omnicom group|,omnicom group|,"""","""",",","""omnicom group"","
OKE,ONEOK,Energy,oneok,|,oneok|,oneok|,"""","""",",","""oneok"","
ORCL,Oracle Corp.,Information Technology,oracle,|,oracle|,oracle|,"""","""",",","""oracle"","
PCAR,PACCAR Inc.,Industrials,paccar,|,paccar|,paccar|,"""","""",",","""paccar"","
PKG,Packaging Corporation of America,Materials,packaging corporation of america,|,packaging corporation of america|,packaging corporation of america|,"""","""",",","""packaging corporation of america"","
PH,Parker-Hannifin,Industrials,parker hannifin,|,parker hannifin|,parker hannifin|,"""","""",",","""parker hannifin"","
PAYX,Paychex Inc.,Information Technology,paychex,|,paychex|,paychex|,"""","""",",","""paychex"","
PYPL,PayPal,Information Technology,paypal,|,paypal|,paypal|,"""","""",",","""paypal"","
PNR,Pentair Ltd.,Industrials,pentair,|,pentair|,pentair|,"""","""",",","""pentair"","
PBCT,People's United Financial,Financials,people's united,|,people's united|,peoples united|,"""","""",",","""people's united"","
PEP,PepsiCo Inc.,Consumer Staples,pepsico,|,pepsico|,pepsico|,"""","""",",","""pepsico"","
PKI,PerkinElmer,Health Care,perkinelmer,|,perkinelmer|,perkinelmer|,"""","""",",","""perkinelmer"","
PRGO,Perrigo,Health Care,perrigo,|,perrigo|,perrigo|,"""","""",",","""perrigo"","
PFE,Pfizer Inc.,Health Care,pfizer,|,pfizer|,pfizer|,"""","""",",","""pfizer"","
PCG,PG&E Corp.,Utilities,pg&e,|,pg&e|,pg&e|,"""","""",",","""pg&e"","
PM,Philip Morris International,Consumer Staples,phillip morris,|,phillip morris|,phillip morris|,"""","""",",","""phillip morris"","
PSX,Phillips 66,Energy,phillips,|,phillips|,phillips|,"""","""",",","""phillips"","
PNW,Pinnacle West Capital,Utilities,pinnacle west,|,pinnacle west|,pinnacle west|,"""","""",",","""pinnacle west"","
PXD,Pioneer Natural Resources,Energy,pioneer natural,|,pioneer natural|,pioneer natural|,"""","""",",","""pioneer natural"","
PNC,PNC Financial Services,Financials,pnc,|,pnc|,pnc|,"""","""",",","""pnc"","
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,ralph lauren,|,ralph lauren|,ralph lauren|,"""","""",",","""ralph lauren"","
PPG,PPG Industries,Materials,ppg,|,ppg|,ppg|,"""","""",",","""ppg"","
PPL,PPL Corp.,Utilities,ppl,|,ppl|,ppl|,"""","""",",","""ppl"","
PX,Praxair Inc.,Materials,praxair,|,praxair|,praxair|,"""","""",",","""praxair"","
PFG,Principal Financial Group,Financials,principal financial,|,principal financial|,principal financial|,"""","""",",","""principal financial"","
PG,Procter & Gamble,Consumer Staples,p&g,|,p&g|,p&g|,"""","""",",","""p&g"","
PG,Procter & Gamble,Consumer Staples,procter & gamble,|,procter & gamble|,procter & gamble|,"""","""",",","""procter & gamble"","
PGR,Progressive Corp.,Financials,progressive corp,|,progressive corp|,progressive corp|,"""","""",",","""progressive corp"","
PLD,Prologis,Real Estate,prologis,|,prologis|,prologis|,"""","""",",","""prologis"","
PRU,Prudential Financial,Financials,prudential,|,prudential|,prudential|,"""","""",",","""prudential"","
PRU,Prudential Financial,Financials,prudential financial,|,prudential financial|,prudential financial|,"""","""",",","""prudential financial"","
PEG,Public Serv. Enterprise Inc.,Utilities,public serv enterprise,|,public serv enterprise|,public serv enterprise|,"""","""",",","""public serv enterprise"","
PSA,Public Storage,Real Estate,public storage,|,public storage|,public storage|,"""","""",",","""public storage"","
PHM,Pulte Homes Inc.,Consumer Discretionary,pulte homes,|,pulte homes|,pulte homes|,"""","""",",","""pulte homes"","
PVH,PVH Corp.,Consumer Discretionary,pvh,|,pvh|,pvh|,"""","""",",","""pvh"","
QRVO,Qorvo,Information Technology,qorvo,|,qorvo|,qorvo|,"""","""",",","""qorvo"","
QCOM,QUALCOMM Inc.,Information Technology,qualcomm,|,qualcomm|,qualcomm|,"""","""",",","""qualcomm"","
PWR,Quanta Services Inc.,Industrials,quanta services,|,quanta services|,quanta services|,"""","""",",","""quanta services"","
DGX,Quest Diagnostics,Health Care,quest diagnostics,|,quest diagnostics|,quest diagnostics|,"""","""",",","""quest diagnostics"","
RRC,Range Resources Corp.,Energy,range resources,|,range resources|,range resources|,"""","""",",","""range resources"","
RJF,Raymond James Financial Inc.,Financials,raymond james,|,raymond james|,raymond james|,"""","""",",","""raymond james"","
RTN,Raytheon Co.,Industrials,raytheon,|,raytheon|,raytheon|,"""","""",",","""raytheon"","
O,Realty Income Corporation,Real Estate,realty income,|,realty income|,realty income|,"""","""",",","""realty income"","
RHT,Red Hat Inc.,Information Technology,red hat,|,red hat|,red hat|,"""","""",",","""red hat"","
REG,Regency Centers Corporation,Real Estate,regency centers,|,regency centers|,regency centers|,"""","""",",","""regency centers"","
REGN,Regeneron,Health Care,regeneron,|,regeneron|,regeneron|,"""","""",",","""regeneron"","
RF,Regions Financial Corp.,Financials,regions financial,|,regions financial|,regions financial|,"""","""",",","""regions financial"","
RSG,Republic Services Inc,Industrials,republic services,|,republic services|,republic services|,"""","""",",","""republic services"","
RMD,ResMed,Health Care,resmed,|,resmed|,resmed|,"""","""",",","""resmed"","
RHI,Robert Half International,Industrials,robert half,|,robert half|,robert half|,"""","""",",","""robert half"","
ROK,Rockwell Automation Inc.,Industrials,rockwell automation,|,rockwell automation|,rockwell automation|,"""","""",",","""rockwell automation"","
COL,Rockwell Collins,Industrials,rockwell collins,|,rockwell collins|,rockwell collins|,"""","""",",","""rockwell collins"","
ROP,Roper Technologies,Industrials,roper technologies,|,roper technologies|,roper technologies|,"""","""",",","""roper technologies"","
ROST,Ross Stores,Consumer Discretionary,ross stores,|,ross stores|,ross stores|,"""","""",",","""ross stores"","
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,royal caribbean,|,royal caribbean|,royal caribbean|,"""","""",",","""royal caribbean"","
SPGI,"S&P Global, Inc.",Financials,s&p global,|,s&p global|,s&p global|,"""","""",",","""s&p global"","
CRM,Salesforce.com,Information Technology,salesforce.com,|,salesforce.com|,salesforce.com|,"""","""",",","""salesforce.com"","
SBAC,SBA Communications,Real Estate,sba,|,sba|,sba|,"""","""",",","""sba"","
SCG,SCANA Corp,Utilities,scana,|,scana|,scana|,"""","""",",","""scana"","
SLB,Schlumberger Ltd.,Energy,schlumberger,|,schlumberger|,schlumberger|,"""","""",",","""schlumberger"","
STX,Seagate Technology,Information Technology,seagate technology,|,seagate technology|,seagate technology|,"""","""",",","""seagate technology"","
SEE,Sealed Air,Materials,sealed air,|,sealed air|,sealed air|,"""","""",",","""sealed air"","
SRE,Sempra Energy,Utilities,sempra energy,|,sempra energy|,sempra energy|,"""","""",",","""sempra energy"","
SHW,Sherwin-Williams,Materials,sherwin williams,|,sherwin williams|,sherwin williams|,"""","""",",","""sherwin williams"","
SPG,Simon Property Group Inc,Real Estate,simon property,|,simon property|,simon property|,"""","""",",","""simon property"","
SWKS,Skyworks Solutions,Information Technology,skyworks solutions,|,skyworks solutions|,skyworks solutions|,"""","""",",","""skyworks solutions"","
SLG,SL Green Realty,Real Estate,slg,|,slg|,slg|,"""","""",",","""slg"","
SNA,Snap-On Inc.,Consumer Discretionary,snap on,|,snap on|,snap on|,"""","""",",","""snap on"","
SO,Southern Co.,Utilities,southern co,|,southern co|,southern co|,"""","""",",","""southern co"","
LUV,Southwest Airlines,Industrials,southwest airlines,|,southwest airlines|,southwest airlines|,"""","""",",","""southwest airlines"","
SWK,Stanley Black & Decker,Consumer Discretionary,black & decker,|,black & decker|,black & decker|,"""","""",",","""black & decker"","
SBUX,Starbucks Corp.,Consumer Discretionary,starbucks,|,starbucks|,starbucks|,"""","""",",","""starbucks"","
STT,State Street Corp.,Financials,state street,|,state street|,state street|,"""","""",",","""state street"","
SRCL,Stericycle Inc,Industrials,stericycle,|,stericycle|,stericycle|,"""","""",",","""stericycle"","
SYK,Stryker Corp.,Health Care,stryker,|,stryker|,stryker|,"""","""",",","""stryker"","
STI,SunTrust Banks,Financials,suntrust,|,suntrust|,suntrust|,"""","""",",","""suntrust"","
SIVB,SVB Financial,Financials,svb,|,svb|,svb|,"""","""",",","""svb"","
SYMC,Symantec Corp.,Information Technology,symantec,|,symantec|,symantec|,"""","""",",","""symantec"","
SYF,Synchrony Financial,Financials,synchrony financial,|,synchrony financial|,synchrony financial|,"""","""",",","""synchrony financial"","
SNPS,Synopsys Inc.,Information Technology,synopsys,|,synopsys|,synopsys|,"""","""",",","""synopsys"","
SYY,Sysco Corp.,Consumer Staples,sysco,|,sysco|,sysco|,"""","""",",","""sysco"","
TROW,T. Rowe Price Group,Financials,rowe price,|,rowe price|,rowe price|,"""","""",",","""rowe price"","
TTWO,Take-Two Interactive,Information Technology,take-two,|,take-two|,take-two|,"""","""",",","""take-two"","
TPR,"Tapestry, Inc.",Consumer Discretionary,tapestry,|,tapestry|,tapestry|,"""","""",",","""tapestry"","
TGT,Target Corp.,Consumer Discretionary,target corp,|,target corp|,target corp|,"""","""",",","""target corp"","
TEL,TE Connectivity Ltd.,Information Technology,te connectivty,|,te connectivty|,te connectivty|,"""","""",",","""te connectivty"","
FTI,TechnipFMC,Energy,technipfmc,|,technipfmc|,technipfmc|,"""","""",",","""technipfmc"","
TXN,Texas Instruments,Information Technology,texas instruments,|,texas instruments|,texas instruments|,"""","""",",","""texas instruments"","
TXT,Textron Inc.,Industrials,textron,|,textron|,textron|,"""","""",",","""textron"","
BK,The Bank of New York Mellon Corp.,Financials,new york mellon,|,new york mellon|,new york mellon|,"""","""",",","""new york mellon"","
CLX,The Clorox Company,Consumer Staples,clorox,|,clorox|,clorox|,"""","""",",","""clorox"","
COO,The Cooper Companies,Health Care,cooper companies,|,cooper companies|,cooper companies|,"""","""",",","""cooper companies"","
HSY,The Hershey Company,Consumer Staples,hershey,|,hershey|,hershey|,"""","""",",","""hershey"","
MOS,The Mosaic Company,Materials,mosaic company,|,mosaic company|,mosaic company|,"""","""",",","""mosaic company"","
TRV,The Travelers Companies Inc.,Financials,travelers company,|,travelers company|,travelers company|,"""","""",",","""travelers company"","
DIS,The Walt Disney Company,Consumer Discretionary,disney,|,disney|,disney|,"""","""",",","""disney"","
TMO,Thermo Fisher Scientific,Health Care,thermo fisher,|,thermo fisher|,thermo fisher|,"""","""",",","""thermo fisher"","
TIF,Tiffany & Co.,Consumer Discretionary,tiffany & co,|,tiffany & co|,tiffany & co|,"""","""",",","""tiffany & co"","
TWX,Time Warner Inc.,Consumer Discretionary,time warner,|,time warner|,time warner|,"""","""",",","""time warner"","
TJX,TJX Companies Inc.,Consumer Discretionary,tjx,|,tjx|,tjx|,"""","""",",","""tjx"","
TMK,Torchmark Corp.,Financials,torchmark,|,torchmark|,torchmark|,"""","""",",","""torchmark"","
TSS,Total System Services,Information Technology,tss,|,tss|,tss|,"""","""",",","""tss"","
TSCO,Tractor Supply Company,Consumer Discretionary,tractor supply,|,tractor supply|,tractor supply|,"""","""",",","""tractor supply"","
TDG,TransDigm Group,Industrials,trans digm,|,trans digm|,trans digm|,"""","""",",","""trans digm"","
TRIP,TripAdvisor,Consumer Discretionary,trip advisor,|,trip advisor|,trip advisor|,"""","""",",","""trip advisor"","
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,century fox,|,century fox|,century fox|,"""","""",",","""century fox"","
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,century fox,|,century fox|,century fox|,"""","""",",","""century fox"","
TSN,Tyson Foods,Consumer Staples,tyson foods,|,tyson foods|,tyson foods|,"""","""",",","""tyson foods"","
USB,U.S. Bancorp,Financials,u.s. bancorp,|,u.s. bancorp|,u.s. bancorp|,"""","""",",","""u.s. bancorp"","
UDR,UDR Inc,Real Estate,udr,|,udr|,udr|,"""","""",",","""udr"","
ULTA,Ulta Beauty,Consumer Discretionary,ulta beauty,|,ulta beauty|,ulta beauty|,"""","""",",","""ulta beauty"","
UAA,Under Armour Class A,Consumer Discretionary,under armour,|,under armour|,under armour|,"""","""",",","""under armour"","
UA,Under Armour Class C,Consumer Discretionary,under armour,|,under armour|,under armour|,"""","""",",","""under armour"","
UNP,Union Pacific,Industrials,union pacific,|,union pacific|,union pacific|,"""","""",",","""union pacific"","
UAL,United Continental Holdings,Industrials,united continental,|,united continental|,united continental|,"""","""",",","""united continental"","
UNH,United Health Group Inc.,Health Care,united health,|,united health|,united health|,"""","""",",","""united health"","
UPS,United Parcel Service,Industrials,ups,|,ups|,ups|,"""","""",",","""ups"","
URI,"United Rentals, Inc.",Industrials,united rentals,|,united rentals|,united rentals|,"""","""",",","""united rentals"","
UTX,United Technologies,Industrials,united technologies,|,united technologies|,united technologies|,"""","""",",","""united technologies"","
UHS,"Universal Health Services, Inc.",Health Care,uhs,|,uhs|,uhs|,"""","""",",","""uhs"","
UNM,Unum Group,Financials,unum group,|,unum group|,unum group|,"""","""",",","""unum group"","
VFC,V.F. Corp.,Consumer Discretionary,v.f. corp,|,v.f. corp|,v.f. corp|,"""","""",",","""v.f. corp"","
VLO,Valero Energy,Energy,valero,|,valero|,valero|,"""","""",",","""valero"","
VAR,Varian Medical Systems,Health Care,varian medical,|,varian medical|,varian medical|,"""","""",",","""varian medical"","
VTR,Ventas Inc,Real Estate,ventas,|,ventas|,ventas|,"""","""",",","""ventas"","
VRSN,Verisign Inc.,Information Technology,verisign,|,verisign|,verisign|,"""","""",",","""verisign"","
VRSK,Verisk Analytics,Industrials,verisk analytics,|,verisk analytics|,verisk analytics|,"""","""",",","""verisk analytics"","
VZ,Verizon Communications,Telecommunication Services,verizon,|,verizon|,verizon|,"""","""",",","""verizon"","
VRTX,Vertex Pharmaceuticals Inc,Health Care,vertex,|,vertex|,vertex|,"""","""",",","""vertex"","
VIAB,Viacom Inc.,Consumer Discretionary,viacom,|,viacom|,viacom|,"""","""",",","""viacom"","
V,Visa Inc.,Information Technology,visa,|,visa|,visa|,"""","""",",","""visa"","
VNO,Vornado Realty Trust,Real Estate,vornado,|,vornado|,vornado|,"""","""",",","""vornado"","
VMC,Vulcan Materials,Materials,vulcan materials,|,vulcan materials|,vulcan materials|,"""","""",",","""vulcan materials"","
WMT,Wal-Mart Stores,Consumer Staples,walmart,|,walmart|,walmart|,"""","""",",","""walmart"","
WBA,Walgreens Boots Alliance,Consumer Staples,walgreens,|,walgreens|,walgreens|,"""","""",",","""walgreens"","
WM,Waste Management Inc.,Industrials,waste management,|,waste management|,waste management|,"""","""",",","""waste management"","
WAT,Waters Corporation,Health Care,waters corporation,|,waters corporation|,waters corporation|,"""","""",",","""waters corporation"","
WEC,Wec Energy Group Inc,Utilities,wec,|,wec|,wec|,"""","""",",","""wec"","
WFC,Wells Fargo,Financials,wells fargo,|,wells fargo|,wells fargo|,"""","""",",","""wells fargo"","
WELL,Welltower Inc.,Real Estate,welltower,|,welltower|,welltower|,"""","""",",","""welltower"","
WDC,Western Digital,Information Technology,western digital,|,western digital|,western digital|,"""","""",",","""western digital"","
WU,Western Union Co,Information Technology,western union,|,western union|,western union|,"""","""",",","""western union"","
WRK,WestRock Company,Materials,west rock,|,west rock|,west rock|,"""","""",",","""west rock"","
WY,Weyerhaeuser Corp.,Real Estate,weyerhaeuser,|,weyerhaeuser|,weyerhaeuser|,"""","""",",","""weyerhaeuser"","
WHR,Whirlpool Corp.,Consumer Discretionary,whirlpool,|,whirlpool|,whirlpool|,"""","""",",","""whirlpool"","
WMB,Williams Cos.,Energy,williams cos,|,williams cos|,williams cos|,"""","""",",","""williams cos"","
WLTW,Willis Towers Watson,Financials,willis towers,|,willis towers|,willis towers|,"""","""",",","""willis towers"","
WYN,Wyndham Worldwide,Consumer Discretionary,wyndham,|,wyndham|,wyndham|,"""","""",",","""wyndham"","
WYNN,Wynn Resorts Ltd,Consumer Discretionary,wynn resorts,|,wynn resorts|,wynn resorts|,"""","""",",","""wynn resorts"","
XEL,Xcel Energy Inc,Utilities,xcel energy,|,xcel energy|,xcel energy|,"""","""",",","""xcel energy"","
XRX,Xerox Corp.,Information Technology,xerox,|,xerox|,xerox|,"""","""",",","""xerox"","
XLNX,Xilinx Inc,Information Technology,xilinx,|,xilinx|,xilinx|,"""","""",",","""xilinx"","
XL,XL Capital,Financials,xl capital,|,xl capital|,xl capital|,"""","""",",","""xl capital"","
XYL,Xylem Inc.,Industrials,xylem,|,xylem|,xylem|,"""","""",",","""xylem"","
YUM,Yum! Brands Inc,Consumer Discretionary,yum brands,|,yum brands|,yum brands|,"""","""",",","""yum brands"","
ZBH,Zimmer Biomet Holdings,Health Care,zimmer biomet,|,zimmer biomet|,zimmer biomet|,"""","""",",","""zimmer biomet"","
ZION,Zions Bancorp,Financials,zions bancorp,|,zions bancorp|,zions bancorp|,"""","""",",","""zions bancorp"","
ZTS,Zoetis,Health Care,zoetis,,zoetis,zoetis,"""","""",,"""zoetis"""
